模型运行日期,近地2米温度（℃）,地表温度（K）,比湿（kg/kg）,湿度（%）,近地10米风速（m/s）,近地10米风向（°）,雨量（mm）,云量,边界层高度（m）,大气压（Kpa）,感热通量（W/m²）,潜热通量（W/m²）,长波辐射（W/m²）,短波辐射（W/m²）,地面太阳能辐射（W/m²）,SO2小时平均浓度(μg/m³),NO2小时平均浓度(μg/m³),PM10小时平均浓度(μg/m³),PM2.5小时平均浓度(μg/m³),O3小时平均浓度(μg/m³),CO小时平均浓度(mg/m³),AQI,MainP
2020-07-23,31.958602314814815,310.15881018518513,0.017672360185185185,56.639575462962966,4.447861763888889,210.83444907407406,0.017897943356449075,0.21063897967592593,916.4103935185185,100.6141388888889,128.19498777777775,22.450300277777774,440.40839351851855,271.5150185185185,326.25961666666666,2.8815576435185184,13.329794166666666,6.525959490740741,4.104210601851852,35.17785709259259,0.11460640694444445,18,[4]
2020-07-24,31.93958240740741,310.0122314814814,0.018074949537037036,57.89464444444444,4.7021546296296295,207.70139351851853,0.11913819545922687,0.21799959305555555,934.630476851852,100.55847685185186,130.06118842592593,22.7529770787037,441.469,270.3394523148148,324.8469699074074,2.581153259259259,12.570522592592592,6.964495046296297,4.1703597685185185,32.12255010185185,0.1102645375,17,[4]
2020-07-25,31.770805555555558,309.7720277777778,0.018314210648148147,58.93402592592592,4.566000462962963,199.62424074074073,0.28825009360274534,0.2499727846759259,929.3190787037036,100.55159722222223,127.14178337962962,23.171199194444444,442.8249212962962,264.7233726851852,318.0986185185185,2.6521908935185188,13.322179861111112,7.493786111111111,4.371237592592593,29.233389537037034,0.10976259999999999,17,[1]
2020-07-26,31.540957870370367,309.6280601851852,0.018139971296296298,59.01127453703703,4.040369888888889,186.98774305555557,0.500150554023148,0.3108792110648148,874.9043615740741,100.59674537037036,122.45754421296297,23.522651939814814,442.66200462962973,262.30113407407407,315.1880098148148,2.7888666342592594,17.09109050925926,7.820914398148148,4.693400046296296,26.948799023611112,0.11495254907407405,22,[1]
2020-07-27,31.36424212962963,309.5766527777778,0.017999511111111113,59.02354675925926,3.6855017407407407,169.5060861111111,0.6163029806898147,0.3395639337962963,838.5535791666666,100.62439814814815,121.12184805555555,23.793776652777776,441.3545648148148,262.3312629166667,315.22424777777775,3.2025029999999997,22.639379351851854,8.346642268518519,5.150871064814815,24.64758044035093,0.12507792083333333,29,[1]
2020-07-28,30.977102314814815,308.824625,0.018073721759259257,60.52736157407408,4.002557574074074,136.30410462962962,0.7894745551388889,0.4336072310185185,788.1165837962964,100.57618055555557,117.76638277916666,23.176178212962963,442.58699074074076,245.1696811898148,294.6023631990741,4.023042481481482,29.645559907407407,8.945666898148149,5.753729212962963,20.11738241851467,0.14157679259259262,38,[1]
2020-07-29,30.352213425925925,307.6559305555555,0.018416530555555557,64.14347916666667,4.844073101851852,107.01979583333333,1.4162721878240743,0.5670199180555555,722.9238226851851,100.44356296296297,115.12619402916668,22.82109274074074,444.49491666666665,228.29487313425926,274.32513185648145,4.600535518518519,31.65514384259259,8.726639212962963,5.7905908101851855,17.38645653913504,0.14884736712962962,40,[1]
2020-07-30,29.2465787037037,305.9502546296296,0.018846910185185188,70.09542777777779,5.175625004629629,88.3514050925926,2.584363015740741,0.6740955532407408,585.4380583333333,100.29271527777776,101.5928994828704,20.442996481481483,444.71676388888886,195.51418359722226,234.93501014351853,5.086882706944444,33.04240138888889,7.937938240740742,5.321641504629629,15.038726017832573,0.1563834787037037,42,[1]
2020-07-31,28.77803472222222,305.71918518518527,0.018968694444444444,72.5156726851852,4.376288421296296,103.48155199074073,2.6998194878703705,0.739508175925926,540.4261555555555,100.16381851851851,95.18095922685185,19.503904495370374,445.0451018518518,192.68385078703702,231.53401648148144,4.430850203240741,32.1672949537037,7.293100138888889,4.9730786342592594,20.56871481540957,0.1550383689814815,41,[1]
2020-08-01,28.03623888888889,304.55522222222226,0.019276472222222223,76.86897916666666,4.635456402777779,90.11398194444445,4.169065635138889,0.7335920416666667,444.7135680555555,100.15391527777778,83.96208955555556,16.74941888888889,442.7891666666667,164.62258597222223,197.8149070833333,4.865470731944445,32.918643055555556,6.9805375000000005,4.486495416666666,15.796184214089827,0.15887199999999999,42,[1]
