模型运行日期,近地2米温度（℃）,地表温度（K）,比湿（kg/kg）,湿度（%）,近地10米风速（m/s）,近地10米风向（°）,雨量（mm）,云量,边界层高度（m）,大气压（Kpa）,感热通量（W/m²）,潜热通量（W/m²）,长波辐射（W/m²）,短波辐射（W/m²）,地面太阳能辐射（W/m²）,SO2小时平均浓度(μg/m³),NO2小时平均浓度(μg/m³),PM10小时平均浓度(μg/m³),PM2.5小时平均浓度(μg/m³),O3小时平均浓度(μg/m³),CO小时平均浓度(mg/m³)
2020-07-23,30.5243217592593,308.634550925926,0.018597297685185,63.8433412037037,3.26390964351852,209.697081018519,0.228112629830093,0.263661038888889,606.386997222222,100.39587962963,122.737567175926,19.9857249962963,435.210453703704,262.841084847222,315.836945555556,0.256291331481481,8.2279787037037,6.20256791666667,3.44557953703704,25.3454828240741,0.085833684259259
2020-07-24,30.5711467592593,308.648560185185,0.018613531944445,63.668524537037,3.16918263796296,206.191981018519,0.239365426305556,0.29459595,624.693848148148,100.34962962963,123.497091157407,20.1647096106481,436.329953703704,262.948582416667,315.966057365741,0.215119759722222,6.97130314814815,6.48377777777778,3.433390625,25.4453715277778,0.08322375787037
2020-07-25,30.3917694444444,308.439236111111,0.018703622222222,64.5809916666667,2.99047634166667,193.058946990741,0.314182829856481,0.336540990740741,636.233202314815,100.350675925926,121.298940462963,19.9653258097222,436.038564814815,258.852076722222,311.043519407407,0.183578423611111,6.51483782407407,6.53914458333333,3.36610664351852,24.138034537037,0.08075250462963
2020-07-26,30.2134916666667,308.541041666667,0.018962302314815,66.1545013888889,2.96850084166667,177.303045601852,0.311673641662037,0.346934827314815,613.581895833333,100.389592592593,127.545419490741,20.2248886523148,435.605087962963,268.804837314815,323.00304587963,0.24540980462963,8.0313262037037,6.1672562962963,3.24468693981481,22.9137475601852,0.080641826851852
2020-07-27,30.048412037037,308.248425925926,0.018935727777778,66.6965615740741,3.26894424074074,157.712749768519,0.21974910674537,0.383954014814815,585.601384259259,100.405388888889,127.290903194444,19.7922477722222,435.628013888889,263.351431666667,316.450105648148,0.6606596875,12.2762805555556,6.45577847222222,3.56314798148148,22.773194974537,0.084229010648148
2020-07-28,29.4903486111111,307.213722222222,0.01922820787037,70.0213837962963,4.16389508333333,129.594964814815,0.629927590837963,0.446259018981482,536.735852314815,100.344624074074,122.687403513889,19.1035501981482,436.644092592593,242.084464259259,290.895144166667,0.989031627314815,16.1236931481481,6.60943072222222,3.62818719907407,24.9951559143518,0.086387943981482
2020-07-29,28.7069592592593,305.439606481481,0.019305947685185,73.8237856481481,5.00366285648148,108.002268518519,2.77797588102315,0.583647914814815,458.061466203704,100.213473148148,104.010913049074,17.0598507708333,439.100939814815,198.01796012963,237.943676930556,1.26628459203704,18.0051549537037,6.77098181018519,3.66877766666667,25.8426013634259,0.087586000462963
2020-07-30,27.9620967592593,304.165333333333,0.019781686111111,78.808012037037,5.63260826388889,99.5292009259259,4.76180229834722,0.683062043518519,446.6913375,100.066470833333,89.8760203907407,15.8492709074074,441.149601851852,170.317983560185,204.658654175926,1.06789499666667,16.2229277314815,5.89638338888889,3.05997458796296,28.580313625,0.085542257407408
2020-07-31,27.6733481481481,304.013240740741,0.019759089351852,80.0561087962963,4.96531390277778,123.62594062037,5.77299380415278,0.764294787037037,424.189590277778,99.9385240740741,83.7272115990741,15.2808792731481,443.529143518518,164.398971569444,197.546214037037,0.761681853055555,13.1727136111111,4.97940291203704,2.74588890740741,34.4560690277778,0.086281760648148
2020-08-01,27.6777111111111,303.864222222222,0.020061520833333,81.0705486111111,5.65465409722222,104.608525,6.01085173458333,0.762778277777778,500.271583333333,99.9334513888889,80.8102800805556,15.4534816666667,443.335027777778,164.219846680556,197.330945625,0.812719380555556,13.2865716666667,4.44259265277778,2.23539006944444,32.4496427777778,0.084255736111111
2020-08-02,27.6969319444444,305.032152777778,0.019578818055556,79.1289902777778,3.41313455555556,173.291021861111,4.516078251625,0.776041791666667,424.463458333333,99.8314347222222,94.2269331944445,16.6891148611111,443.932625,191.88394625,230.572832638889,0.259372067777778,9.90166805555556,4.05460823611111,2.61677005555556,45.7872222222222,0.089503333333333
