模型运行日期,近地2米温度（℃）,地表温度（K）,比湿（kg/kg）,湿度（%）,近地10米风速（m/s）,近地10米风向（°）,雨量（mm）,云量,边界层高度（m）,大气压（Kpa）,感热通量（W/m²）,潜热通量（W/m²）,长波辐射（W/m²）,短波辐射（W/m²）,地面太阳能辐射（W/m²）,SO2小时平均浓度(μg/m³),NO2小时平均浓度(μg/m³),PM10小时平均浓度(μg/m³),PM2.5小时平均浓度(μg/m³),O3小时平均浓度(μg/m³),CO小时平均浓度(mg/m³),AQI,MainP
2020-07-23,31.968365740740737,310.745175925926,0.016484907407407406,52.822937499999995,2.654914222222222,212.00372699074074,0.1385052264351852,0.29421754865740746,741.7733842592593,100.4988888888889,120.93486962962962,22.92127099537037,440.400462962963,276.2571138888889,331.9578648148148,3.434577217592593,19.962314675925924,19.25814106481482,13.407245324074074,61.78760761295953,0.1802914296296296,31,[4]
2020-07-24,31.856924537037035,310.45619907407405,0.016985032407407407,54.47411157407408,2.8621418518518515,207.91767606481483,0.19971748995370373,0.32233028842592587,737.6088027777778,100.44164351851852,120.06336819444444,22.48234736111111,441.89226851851856,267.7161111111111,321.69485787037036,2.931587310185185,18.22341074074074,18.350148518518516,12.45720611111111,59.79254006018519,0.17103156388888888,30,[4]
2020-07-25,31.50319814814815,310.0661759259259,0.017686706944444446,57.68478240740741,2.9274795185185183,200.45104782407412,0.3773520340740741,0.4034950143518518,728.7801106481483,100.43917129629628,120.15825185185186,22.580982041666662,443.5004074074074,261.0666583333333,313.7046601851852,2.887409939814815,19.49326509259259,19.49064074074074,12.819118333333334,56.49188394060185,0.1723045462962963,29,[4]
2020-07-26,31.313441203703704,310.0542361111111,0.01774745462962963,58.390853703703705,2.7649429166666666,195.57659629629632,0.41754937500000006,0.4136199865740741,744.5036296296296,100.49513425925926,122.22878884259259,22.94777458796296,442.4931203703704,266.59101296296296,320.34283055555557,3.214857648148148,23.39528148148148,21.470540972222224,13.978121574074075,55.73098593782407,0.1841718925925926,30,[1]
2020-07-27,31.062242592592593,309.89936111111103,0.017810587962962962,59.5058,2.435035324074074,176.73224166666665,0.528952314675926,0.43454145138888883,711.5457865740741,100.53664351851852,118.87997569444444,22.817344189814815,442.5971064814815,262.10294402777777,314.9498229629629,3.419931425925926,28.615932546296296,24.36707703703704,15.552209583333331,53.03802841670992,0.1950929435185185,36,[1]
2020-07-28,30.917693055555556,309.56241203703706,0.017864578703703702,60.097141666666666,2.6319125833333334,144.262599537037,0.5997824307314815,0.43089520462962966,686.4776365740742,100.5081712962963,117.8415606712963,22.927955217592594,442.42755555555556,257.93724495370367,309.94421231481476,2.9024808425925928,29.056842731481478,24.475546805555556,15.088767638888887,50.293581527034,0.18209204537037035,37,[1]
2020-07-29,30.686848611111113,308.8991851851852,0.018001132407407406,61.47830138888889,3.435504662037037,107.6651101851852,0.857478707861111,0.49416377870370376,661.662512962963,100.40550138888891,121.06275659722222,23.747770185185182,443.15233333333333,256.05816740277777,307.6862685185185,1.8927695150925927,23.770395324074073,22.18301,13.068664212962963,49.15477345110807,0.1540571236111111,30,[1]
2020-07-30,29.954502314814818,307.49658333333326,0.018285088425925924,65.12539768518519,4.002517439814815,89.81147407407408,1.6394780446851853,0.5917389356481481,622.1457189814814,100.2714,111.84328965694446,22.459207249537037,443.0777962962963,235.54179244907408,283.0332785648148,1.092347027365741,18.21645435185185,18.8884162962963,10.680539120370371,46.01762523148148,0.12806806435185186,24,[4]
2020-07-31,29.301093055555558,306.6362731481481,0.018556406944444447,68.62321388888888,3.835292189814815,89.7953351851852,1.9339940361342594,0.673638400462963,562.6675916666667,100.14112731481482,103.64017648564815,20.564218281944445,443.5999537037037,216.83175531944445,260.55079129629627,0.8767551213472222,18.12820439814815,18.785222175925927,10.504880000000002,44.16836921296296,0.12760276157407408,23,"[1, 4]"
2020-08-01,28.726525,305.6043055555556,0.018668959722222225,71.01293749999999,3.8234836805555554,93.38866666666667,2.8851848701944443,0.7024039722222223,544.4146944444443,100.13644583333333,85.7029426513889,18.089739470833333,442.73375000000004,191.35129194444445,229.93290180555556,0.8058340090416666,16.316884722222223,16.261094166666666,9.124085694444444,42.2737925,0.120046725,22,[4]
